ar,ma,garch.p,garch.q,AIC,BIC
4,4,0,2,-3.72407314097307,-3.68784737484035
3,2,0,4,-3.72105019820623,-3.68784324591791
0,0,0,4,-3.70582443150306,-3.6877115484367
4,0,0,2,-3.71165040250609,-3.68749989175095
0,4,0,2,-3.71160316487519,-3.68745265412005
1,4,0,4,-3.72049210867488,-3.68728515638656
0,1,0,4,-3.70802465271218,-3.68689295580144
4,1,0,4,-3.71973011065449,-3.68652315836617
4,3,0,3,-3.72176017711872,-3.68553441098601
3,0,0,4,-3.71153756436109,-3.68436823976155
3,3,0,4,-3.72007321173264,-3.68384744559992
0,4,0,3,-3.71054612057047,-3.68337679597094
4,2,0,4,-3.71934524688648,-3.68311948075377
4,4,0,3,-3.72067562197812,-3.68143104200102
4,0,0,3,-3.70539396615661,-3.67822464155708
2,0,0,4,-3.68806947271061,-3.66391896195547
4,3,0,4,14.6316836921352,14.6709282721123
0,0,1,0,,
1,0,1,0,,
2,0,1,0,,
3,0,1,0,,
4,0,1,0,,
0,1,1,0,,
1,1,1,0,,
2,1,1,0,,
3,1,1,0,,
4,1,1,0,,
0,2,1,0,,
1,2,1,0,,
2,2,1,0,,
3,2,1,0,,
4,2,1,0,,
0,3,1,0,,
1,3,1,0,,
2,3,1,0,,
3,3,1,0,,
4,3,1,0,,
0,4,1,0,,
1,4,1,0,,
2,4,1,0,,
3,4,1,0,,
4,4,1,0,,
0,0,2,0,,
1,0,2,0,,
2,0,2,0,,
3,0,2,0,,
4,0,2,0,,
0,1,2,0,,
1,1,2,0,,
2,1,2,0,,
3,1,2,0,,
4,1,2,0,,
0,2,2,0,,
1,2,2,0,,
2,2,2,0,,
3,2,2,0,,
4,2,2,0,,
0,3,2,0,,
1,3,2,0,,
2,3,2,0,,
3,3,2,0,,
4,3,2,0,,
0,4,2,0,,
1,4,2,0,,
2,4,2,0,,
3,4,2,0,,
4,4,2,0,,
0,0,3,0,,
1,0,3,0,,
2,0,3,0,,
3,0,3,0,,
4,0,3,0,,
0,1,3,0,,
1,1,3,0,,
2,1,3,0,,
3,1,3,0,,
4,1,3,0,,
0,2,3,0,,
1,2,3,0,,
2,2,3,0,,
3,2,3,0,,
4,2,3,0,,
0,3,3,0,,
1,3,3,0,,
2,3,3,0,,
3,3,3,0,,
4,3,3,0,,
0,4,3,0,,
1,4,3,0,,
2,4,3,0,,
3,4,3,0,,
4,4,3,0,,
0,0,4,0,,
1,0,4,0,,
2,0,4,0,,
3,0,4,0,,
4,0,4,0,,
0,1,4,0,,
1,1,4,0,,
2,1,4,0,,
3,1,4,0,,
4,1,4,0,,
0,2,4,0,,
1,2,4,0,,
2,2,4,0,,
3,2,4,0,,
4,2,4,0,,
0,3,4,0,,
1,3,4,0,,
2,3,4,0,,
3,3,4,0,,
4,3,4,0,,
0,4,4,0,,
1,4,4,0,,
2,4,4,0,,
3,4,4,0,,
4,4,4,0,,
4,2,0,3,,
4,0,0,4,,
2,2,0,4,,
0,3,0,4,,
1,3,0,4,,
2,3,0,4,,
0,4,0,4,,
