ar,ma,garch.p,garch.q,AIC,BIC
0,0,0,2,-3.69086657815232,-3.68181013661914
1,0,0,2,-3.69339614532924,-3.68132088995167
0,1,0,2,-3.69319744776609,-3.68112219238852
2,3,0,1,-3.70078746816741,-3.67965577125666
3,2,0,1,-3.70076346715183,-3.67963177024108
1,4,0,1,-3.70028499764112,-3.67915330073038
2,2,0,2,-3.70027574158239,-3.67914404467164
4,1,0,1,-3.70017803983155,-3.6790463429208
3,1,0,2,-3.70005030605737,-3.67891860914662
1,3,0,2,-3.70001647391618,-3.67888477700543
3,0,0,1,-3.69333897011733,-3.67824490089536
0,3,0,1,-3.69331804314586,-3.6782239739239
0,2,0,2,-3.69324692130888,-3.67815285208692
2,0,0,2,-3.69320222216388,-3.67810815294191
1,1,0,2,-3.69295292696904,-3.67785885774708
4,3,0,1,-3.70339168560619,-3.67622236100665
2,4,0,1,-3.69969038355776,-3.67553987280262
2,3,0,2,-3.69968961264451,-3.67553910188937
3,3,0,1,-3.6996703448956,-3.67551983414046
4,2,0,1,-3.69954646464748,-3.67539595389234
1,4,0,2,-3.69919070161425,-3.67504019085911
3,2,0,2,-3.69911202909272,-3.67496151833758
4,1,0,2,-3.69908226631293,-3.67493175555779
1,3,0,3,-3.69892302990078,-3.67477251914564
3,4,0,1,-3.70149522331027,-3.67432589871074
4,0,0,1,-3.69241609751911,-3.67430321445275
0,4,0,1,-3.69238413207255,-3.67427124900619
3,0,0,2,-3.69224413301529,-3.67413124994894
1,3,0,1,-3.69222751420036,-3.674114631134
0,3,0,2,-3.69222407530336,-3.67411119223701
2,4,0,2,-3.69859966234401,-3.67143033774447
4,2,0,2,-3.69789848322511,-3.67072915862558
4,4,0,1,-3.70064359721206,-3.67045545876813
3,4,0,2,-3.70040346367133,-3.67021532522741
4,0,0,2,-3.69132141676863,-3.67018971985789
0,4,0,2,-3.69129052200889,-3.67015882509814
4,3,0,2,-3.69994147013001,-3.66975333168609
4,4,0,2,-3.69954969972499,-3.66634274743667
4,2,0,4,-3.69581778290515,-3.66261083061683
7,10,0,2,-3.71693939368849,-3.65656311680064
7,10,0,1,-3.71133658437562,-3.65397912133216
7,10,0,4,-3.70805258483951,-3.64163868026288
3,3,0,2,,
0,0,0,3,,
1,0,0,3,,
2,0,0,3,,
3,0,0,3,,
4,0,0,3,,
0,1,0,3,,
1,1,0,3,,
2,1,0,3,,
3,1,0,3,,
4,1,0,3,,
0,2,0,3,,
1,2,0,3,,
2,2,0,3,,
3,2,0,3,,
4,2,0,3,,
0,3,0,3,,
2,3,0,3,,
3,3,0,3,,
4,3,0,3,,
0,4,0,3,,
1,4,0,3,,
2,4,0,3,,
3,4,0,3,,
4,4,0,3,,
0,0,0,4,,
1,0,0,4,,
2,0,0,4,,
3,0,0,4,,
4,0,0,4,,
0,1,0,4,,
1,1,0,4,,
2,1,0,4,,
3,1,0,4,,
4,1,0,4,,
0,2,0,4,,
1,2,0,4,,
2,2,0,4,,
3,2,0,4,,
0,3,0,4,,
1,3,0,4,,
2,3,0,4,,
3,3,0,4,,
4,3,0,4,,
0,4,0,4,,
1,4,0,4,,
2,4,0,4,,
3,4,0,4,,
4,4,0,4,,
1,3,1,4,,
7,10,0,0,,
7,10,1,0,,
7,10,2,0,,
7,10,3,0,,
7,10,4,0,,
7,10,0,3,,
